
When P(ride) = 1 always.
-------------------------------------------------------

COST       Static     Fluid      Dynamic    Optimized  DynamicCC 

0.0        0.934      0.755      1.0        0.945      0.99      
0.01       0.932      0.754      1.0        0.944      0.993     
0.1        0.906      0.75       1.0        0.933      0.992     
0.2        0.865      0.741      1.0        0.912      0.992     
0.3        0.806      0.725      1.0        0.881      0.991     
0.4        0.716      0.698      1.0        0.831      0.987     


0.0        3338.175   2697.624   3574.077   3379.185   3536.802  
0.01       3288.405   2663.034   3529.772   3333.805   3503.521  
0.1        2840.475   2351.724   3135.85    2925.385   3111.808  
0.2        2342.775   2005.824   2708.606   2471.585   2686.401  
0.3        1845.075   1659.924   2290.096   2017.785   2269.22   
0.4        1347.375   1314.024   1882.986   1563.985   1859.204  




When P(ride) is calculated from flow rates.
-------------------------------------------------------

COST       Static     Fluid      Dynamic    Optimized  DynamicCC 

0.0        0.925      0.75       1.0        0.951      0.99      
0.01       0.916      0.745      1.0        0.944      0.962     
0.1        0.804      0.688      1.0        0.863      0.953     
0.2        0.603      0.581      1.0        0.712      0.944     
0.3        0.26       0.39       1.0        0.447      0.928     
0.4        -0.346     0.04       1.0        -0.034     0.905     


0.0        1743.25    1412.229   1883.67    1790.672   1864.147  
0.01       1693.48    1377.639   1849.006   1745.292   1779.144  
0.1        1245.55    1066.329   1549.809   1336.872   1477.195  
0.2        747.85     720.429    1240.639   883.072    1170.738  
0.3        250.15     374.529    960.347    429.272    891.257   
0.4        -247.55    28.629     715.699    -24.528    647.692   


